,Day,Outcome,Probability
0,1,1,0.1
1,1,2,0.06
2,1,3,0.14
3,1,4,0.06
4,1,5,0.12
5,1,6,0.52
6,2,1,0.18
7,2,2,0.06
8,2,3,0.1
9,2,4,0.12
10,2,5,0.08
11,2,6,0.46
12,3,1,0.12
13,3,2,0.1
14,3,3,0.08
15,3,4,0.16
16,3,5,0.12
17,3,6,0.42
18,4,1,0.1
19,4,2,0.24
20,4,3,0.08
21,4,4,0.04
22,4,5,0.1
23,4,6,0.44
24,5,1,0.02
25,5,2,0.1
26,5,3,0.14
27,5,4,0.2
28,5,5,0.1
29,5,6,0.44
30,6,1,0.06
31,6,2,0.14
32,6,3,0.06
33,6,4,0.06
34,6,5,0.06
35,6,6,0.62
36,7,1,0.12
37,7,2,0.06
38,7,3,0.08
39,7,4,0.06
40,7,5,0.08
41,7,6,0.6
42,8,1,0.14
43,8,2,0.08
44,8,3,0.08
45,8,4,0.1
46,8,5,0.14
47,8,6,0.46
48,9,1,0.06
49,9,2,0.14
50,9,3,0.08
51,9,4,0.08
52,9,5,0.08
53,9,6,0.56
54,10,1,0.12
55,10,2,0.08
56,10,3,0.04
57,10,4,0.12
58,10,5,0.06
59,10,6,0.58
